Address,Leak,Limit,Mint
0xdf7ff95aa3d855a6fb21399432166a92fdcf1b1a,0,0,1
0x198376f921570e3cc547fd5c16e482cded8b4d1d,0,1,0
0x9d52414c4cc1fb8e7864a9b59495f430f8e5de44,0,0,0
0x50c6ec50a89a946c5886aeb54a22fe732558f7d1,1,0,0
0xde9e52f1838951e4d2bb6c59723b003c353979b6,0,0,1
0xe1a0ce8b94c6a5e4791401086763d7bd0a6c18f5,0,0,0
0x85aa3f04e539e426cbb55c0d584ea99cfe1d96a1,0,0,0
0xe4182e57eeb29fbc2b3469e45c9e385cea8995ab,0,0,0
0xf0b692ace03ffb689628e68d4919f91723d1c5a2,0,0,0
0xaaf8c293ed36989d1871d2310b2845450d885673,0,0,0
0x4165084a6e5388ce53c9d9892f904a2712dd943a,0,1,0
0x91383a15c391c142b80045d8b4730c1c37ac0378,0,0,0
0x16dfb898cf7029303c2376031392cb9bac450f94,0,0,0
0x17e65e6b9b166fb8e7c59432f0db126711246bc0,0,0,0
0xec4cb1148ec60e00a6bfcfce4482db724db6bdde,0,0,0
0x6b5e9e55921e5e412cf1002599c05d4428cf50c5,0,0,0
0xa942890d7fc60f0d4a516f63dd273dcde72ae6c9,0,1,1
0x797885c0a6cfffcbc4d2e3c1ca0b4f07112db6a3,0,1,0
0xb504035a11e672e12a099f32b1672b9c4a78b22f,0,0,0
0xd28c8ff18f811e5fcd9b5b07889a343da8fd6502,0,0,0
0xa7cd93ed3133d82781cc17460fe1500b69a1b514,0,0,0
0xd217dc0cab1c952a7ce6f4d7ca4549cde1f37bb0,0,1,1
0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74,0,0,0
0x548c9731ae163a73a28916eeb11717fe446dab54,0,0,1
0x8b2e68075a06959e3e35aa0e451a13e099e41b23,0,0,1
0x1c5ee1ffebec5f3e1686e8e59d43f96a3c702b7f,0,0,0
0x108d0f1fc10ed324f8cc65d0a91cad11cd4994a4,1,0,0
0xee45e37e2b73e86c709d9edd1c8ea3b0ec72dad3,0,1,0
0x8275ebf521dc217aa79c88132017a5bcef001dd9,0,0,0
0xb954562066c71b3e6e7b2ac330b03c74c0dcd5ae,0,1,0
0xba751bff276907c438e927d2c2f18de574195e4b,0,1,1
0xf19308f923582a6f7c465e5ce7a9dc1bec6665b1,0,0,0
0x87230146e138d3f296a9a77e497a2a83012e9bc5,0,0,0
0x82902c20c5826984588dcd2dfcc322e05dcc435c,0,1,0
0x0290ea3c728981725689187763f6c63a68e192b8,1,1,1
0x03260e1b0f53e1a1f93cf126a7ca42a1c71648d6,1,1,1
0x054ad3cd4a66f14bf5c0de2548a53be66995a4f6,1,1,1
0x0566c17dc2a9efcaa2f63e04cf06a69e8fc77f60,0,1,1
0x0886949c1b8c412860c4264ceb8083d1365e86cf,0,1,1
0x0b54c811cd4fd4d27c2ff0061c3831427d89b73c,0,1,1
0x0c29d192dd5443fb5f00e5fe52f61d793025643b,0,1,1
0x0c39b1bec04421c6cad1df8a50701a56880f0362,1,1,1
0x0fef20d2c4ee011fa0389e69e9fa92a2291b63c8,1,1,1
0x1035fd1e0aea8c63b4a9ac86e55972ae9f875764,1,1,1
0x10c8324b20b7266c445944f043f53f6a77ea0bd4,1,1,1
0x10cc060f6f9b2e5dcdb23f1361e4b368a7daec73,1,1,1
0x12e29d7d6fd63f0f12040fcd1bf9021919b0e4fa,1,1,1
0x1327c3993c24de9a821b2e512817a2668185d878,0,1,1
0x1332059337953dbba74c89f6cb7ff0c8498ea925,1,1,1
0x1694ee5ef3d9f172e440004dda88bb60441ce6c5,0,1,1
0x16ea4e590b3e8446266b24ad3d3caae2533d78f1,1,1,1
0x17e5f19d430788323863c6798ecd762a40de29f5,1,1,1
0x1b2a2414f80bff80f76255aa11bf847a37b0d5be,1,1,1
0x1b64dd46fdc45bb8706beb306241f089ed5d85bc,0,1,1
0x1bf63aca0124c9617d99c13ec3c279ff3e76f467,1,1,1
0x1c43535d06b494a1d6cb7cb550f5689161303aaa,1,1,1
0x1cf33ead073351b3fc63c1f4f35dc10791fe6c7c,1,1,1
0x2773b55e67efaab67d6985311b2d888d3d4470e1,0,1,1
0x2a90a1536dbadcb3be3c3e8af0019478c449fa5c,1,1,1
0x2b0e91a530bac5e0563a7f8d40ea7fb34cfadc3f,1,0,1
0x2ba93f4cce841e5cd0da320e72e62a860cfd6333,1,1,1
0x2c90bd4fab6652fcbb08e1d7e530f6387dfc4fd1,1,1,1
0x2e76886f251caf2efe6853b181cea3385cc3a24b,1,1,1
0x2edb9962e55b470f66a84a568fca1b4e22606bd0,0,1,1
0x2f22c502a8029d5e64aeafb6e0a214c0323f43c7,1,1,0
0x2f4f6c055a7c8ab529f5b01f6616164aaeec18ad,1,1,0
0x304129f5dcf725f4531a4f2c69af87ecadab2467,0,0,1
0x3052285b4c495afe3fb16967142e864c8f8b6e5f,1,1,1
0x31dae56a501538eaa6ef37a6b6d6289cb97943d8,1,1,1
0x32680c305b2e753f0c9c8dfa6e36ba36c68e0801,1,1,1
0x34915679d8e7f6b5ec26c02ab18565af38e19fc2,1,1,1
0x3633c61be0dd1b1fd20a97e05c5ed880a204de33,1,1,1
0x36b14bae0989f65f80892b99a55378d3e1a80c81,1,1,1
0x3b16fb80ab6ac8562203f3913f58ee0c4dfc08b8,1,1,1
0x3f1db2c3e98232971ec8ccfea8be865228763fef,0,1,1
0x3fb1926a7d1cc68d4166d99c3483465885074f2f,1,1,1
0x40165bd6d657b63cb6f8f4a3525ac05bbf74bd93,0,1,1
0x402408bbf7f80d35a72e071453ca2aa6a76f3a54,1,1,1
0x46043c9093ff4d0a796bd1aee7e80254420368dd,0,1,1
0x482047b690f5ec45dd24b68f92ae97e04450de50,1,1,1
0x48b61132a20954b12b26f9a1cc2cb67e98c4be01,1,1,1
0x4a7babfafe46456bc4e965d6fbeaff7f01c8b330,1,1,1
0x4c0c2052dfdb2d0932644f7b2d4bea509678b9d9,1,1,1
0x4d81198dc71ffd13917da27d1a3f8599ac690535,1,1,1
0x4dac1801ffa1534346ce8a1114e9a40ef908d7fd,1,1,1
0x4e7a34c6c29a4741858a7ec5622cd8be21b0351b,1,1,1
0x514bc174df04a4b04ae2be81ee8c788c3796b06b,1,1,1
0x522b0f328ca716b5b676cab767372d48853ff040,0,1,0
0x530a9cceee0c45f58229ae5c256e414e6df957ad,1,1,1
0x531ac3341edfc39a04ed4c8b44ec396a46bc8690,1,1,1
0x54ee540b38fc6e0548172fe651927d85366c6bf7,1,1,1
0x55b65bdbe29a1b2d29e28038b09075bac320d11d,1,1,1
0x580c1e3caca14826976b5820947f7ad486ac174d,1,1,1
0x5d64170c575be26c16008d49abe98ede2ec199af,1,1,1
0x5ddfae17814220364f1ce1e19aa11a880f3079b8,0,1,1
0x5e2cdfaaa35273bb4c1ca9c3c8f335af1b1bf4b7,1,1,1
0x5e441b5c140034b179e2fabc96f1a29e14dbc47a,1,1,1
0x5ee5e63f3225e5b070be0fac1cf6c2ae2ade24d4,1,1,1
0x5f236f062f16a9b19819c535127398df9a01d762,1,1,1
0x61495573c8433f06443fe0d4846e043efd99a9c6,1,1,1
0x616f9cb89319194935543f445266735bfce524d6,1,1,0
0x627058c1d8438ae33edb07ef4c7d8c0de95ccba2,1,1,0
0x6580c6a7bb02981d403d25eeb95f45c331a6bf76,0,1,1
0x6a9b3e36436b7abde8c4e2e2a98ea40455e615cf,0,1,1
0x6cd574e51524fe7ac6175bff2c449aab482bc5b4,1,1,1
0x6ce8b8eed077f9b49c1fa684008ebb7562bb41ad,1,1,1
0x6e35563be1e059f95bcfb5e1d6d854602a7fa3e1,1,1,1
0x6e5db36f85492b20153eb8165e19dea1387345df,1,1,1
0x6e7f987907320630b7880eecc26b17c0d9afa7b4,0,0,1
0x6f7ad850ef94320cb88f5ae66e5eb8244e81c949,1,1,1
0x70791b81028f30ff01d4ad8f83cbffcd2be1b1f3,1,1,1
0x740e6b6f0a0165e8bb3d1cdf94862bdffbded22e,1,1,1
0x74a30d0ca07771fbd450ef4ded357e2e688ee59f,1,1,1
0x75c25b9b80c7ff2bd326f1bb9dfbd444f463cfcc,0,1,1
0x76a6b003c39c1eb38b96aaaa1f551e4c6ad3de5c,1,1,1
0x76bc9e61a1904b82cbf70d1fd9c0f8a120483bbb,1,1,1
0x7723737d529c2b42e4d218ad7e0a20354fbc7071,0,1,1
0x7a1c0aa1e5bd4cc05af8c0283fd4aebedd7cadcf,1,1,1
0x7d227fe3c5885c3875180e03c548d09ebe1b0119,1,1,1
0x7e8e9f04973682af459a458572afbf19f769aca5,1,1,0
0x7fa2f70bd4c4120fdd539ebd55c04118ba336b9e,0,1,1
0x81609739f3299cdef524833924fc24d424044df8,1,1,1
0x818ebd30145c9d7c697978bf24c905d9e8a194ec,1,1,1
0x85ea0df59947bd97e592d9756e965c3f55fb6ebe,1,1,1
0x862ba4ae01bdb9dd69877976eefccc267b5b7b82,1,1,1
0x87b9e7b07f294b5e203927bd118d91ff118f24aa,0,1,1
0x897dc0cca9bb43f7601e477e721ef4dea4453f07,1,1,1
0x8a52499ff8c65cedd4d7ccc283a0dab6df285fe2,1,1,1
0x8c01ada8e708993a891d57d1b3169479a20acb3a,1,1,1
0x8d65fba6de30791e8da76e4e47443543623ebed5,1,1,1
0x9241b4c67b6cdf9b99f5f50de21283d0441eff75,0,1,1
0x964bc602ee118f13090c69a670032e506d66f457,1,1,1
0x97fe19dfab95b1709bb0994af18ba7f793e28cba,1,1,1
0x99d3dcf7febd2bb968b3fe7baa1a9a36546d9293,0,1,1
0x9c0a1bbf01aee832afafeac003a57ff508a2a386,1,1,1
0x9e3c595e72294eea8a100c63d7c8bf4c4430ee97,1,1,1
0xa5dd8cde486436f0cfd62652952e1fcec5a61cae,1,1,1
0xa623b5a542c0d7daadef321042a04c600b03a8cb,1,1,1
0xa62a63e1b51c30feff1116df3a33ec151453bb95,0,1,1
0xa87beafd65e3c6808ac853076c23f268f3809d7b,1,1,1
0xa99f34b4672ff3a9837fd93dea375ccfbb83c89a,0,1,1
0xab28787f0f0de52bc294e0f602cad2fb7ac2e248,0,1,1
0xace8a1e0102dbe6d31208a16fb8b6e27d537b869,1,0,1
0xae7e3f8a48c17e8ce8fb249e944f73cefde6b09c,1,1,1
0xaf10bbe0b36276fc28b674e647962dff4176eb9e,0,1,1
0xaf7002581c95e18f0803136aff93a9040956b068,1,1,1
0xb0dfb2df1b29b304c59e92e8f8bff329b9d20f62,1,1,1
0xb3ce281f0dee8c6f7af19b9664109c4030bec3fa,0,1,1
0xb4ec121eb68647b13b60dee2686ddd5f2973e47f,0,1,1
0xb5fbf3a6e26fba8c3c3ebaad6fa9f06fcd3cd3fd,1,1,1
0xb7fe7b2b723020cf668db4f78992d10f81990fc4,1,1,1
0xbaf2eb5ef3b3f71a49b971bb125b7ed2ccdad297,1,1,1
0xbb902569a997d657e8d10b82ce0ec5a5983c8c7c,1,0,1
0xbc6f22d3d1da52e4058733e9051683e1899ceae7,1,1,1
0xbf001adcb04089dddedcab714f3b4d34ee6d56dc,1,1,1
0xc17423a26ccc6d307d3f58219443ad3eaa78f74f,1,1,1
0xc2bc886b5d61f8ae9a916de9e31199e86ad1f007,1,1,1
0xc310755f88145cabcaa06c714cd668b5465dceaa,1,1,1
0xc5c5aa3f03523c3e5442cd6bc41076cb194e4d11,1,1,1
0xc78ae86f5da621d636f19e294f3d8523c8ac0164,1,1,1
0xc8bb6085d22de404fe9c6cd85c4536654b9f37b1,1,1,0
0xc900ebf1eb284c9374ff8af4c68d9b3a65046d88,1,1,1
0xcda36122909f77bca1cc45371335627e4e488e6e,1,1,1
0xcec50a37d43141eefa87215fa8565a6e467b125e,0,1,1
0xd0faa64b3de3ceca7ddf5d47cc2a13b1f208cb01,1,1,1
0xd1a7e773cbb9e4149a91ff860a871855bb109568,1,1,1
0xd1b24eb6a8318008afd9f89c49980b9bd5c64ac4,1,1,1
0xd244ff971a90e3d44593e0dfce3c67a8df0a1eb9,1,1,1
0xd495d88aa708cc191e0a12e0ad3e1e40203ce7ff,0,1,1
0xd7c05d4015599b33d8225a69f14cd561f27177eb,1,1,1
0xd942f19ca27dcae7c1e044f10a7080a8cd3bc7c0,0,1,1
0xd989b2df7d86613ea440ffa33394dc7ba48d6c31,1,1,1
0xda4dba3029946b950b7fcfd71342fdbe5bfa45fc,1,1,1
0xdd007278b667f6bef52fd0a4c23604aa1f96039a,1,1,1
0xdd2ee38f9993c0bc1c1b5b9798bc4deff66cac4a,1,1,1
0xdd35e7c2471f958281f08e1a000285ef3ae9e816,1,1,1
0xdd84fc33eeac5b4c26a09ff13abf3cd1a7d3f8dd,1,1,1
0xdeb2aa0478b2758e81d75a896e1257d3984d30d5,1,1,1
0xdf482745749ad7057f4ebe246975ff2f2ddeef78,1,1,1
0xdf859c9878ef5e742d7bbe3c22a496c088c89fa9,0,1,1
0xdf9ecafee99e2954df6258ef85f18cf88462f452,1,0,1
0xe2c43d2c6d6875c8f24855054d77b5664c7e810f,1,1,1
0xe467b8d9b0c69f7d497b8f002a9e7f4b61c84c67,1,1,1
0xe55a772c7889580ecffd9ca3477e12e921fae492,1,1,1
0xe99ddae9181957e91b457e4c79a1b577e55a5742,0,1,1
0xe9fc0c55f9f3a38c0e972d6444273ebdcc7aa46f,1,1,1
0xea1b323e9aa0c0188f0ddacc4f22a6aaf8542d2c,1,1,1
0xf18ef338df7770abf0d20d09dff86c7398a91046,1,1,1
0xf6962cfe3b9618374097d51bc6691efb3974d06f,1,1,1
0xf944d7740c0caf725bf26cf29e3facf6748189ac,1,1,1
0xfa24078bd2daa00232733a1bd8df5badf047ffa2,1,1,1
0xfa65bb26b28e7f923f73248a9a47a5466d9cc7ec,1,1,1
0xfd282a73f7e02ff8e13913f64bc561dd908d7ae5,0,1,0
0xfdf475788c31c57e85f2c48add16164fb5ac84e3,1,1,1
0xff1560afef58be59b11c72734ad1d89db63e4e71,1,1,1
